item,cost,units
Management,50,
Achieve SC,2,oz
Starane+Sword,0.43,oz
Barley Seed,0.12,lb
Roundup,1.2,oz
M90,0.01,oz
Capture,10.17,acre
Canola,6,lb
Labor (Machine),20,acre
Fuel,2,gal
Dry Nitrogen,0.49,lb
Dry Phosphate,1.17,lb
Dry Potash,0.7,lb
Dry Sulfur,0.38,lb
Malathion,7.95,qt
Sencor 4L,23.75,qt
Fuel - Diesel,2,gal
Maintenance,0.8,
Ground Application,15,
Swath Rake,27.5,
Haul and Stack,9,ton
Tarping,4,ton
Tissue Analysis,0.3,
Water,135,
Crop Insurance,2,
Gopher Control,6,
Canola,0.15,lb
Nitrogen (dry),0.55,lb
Phosphorous (dry),1.17,lb
Sulfur (dry),0.23,lb
Ammonium Sulfate,0.02,oz
Lubricants,2.24,acre
Repair,10.61,acre
Rental Sprayer,1.75,acre
Custom Aerial Spray,6.5,acre
Rental Ripper Shooter,2.5,acre
